"","ID","TYPE","WDPAID","WDPA_PID","PA_DEF","NAME","ORIG_NAME","GOV_TYPE","MANG_AUTH","STATUS","STATUS_YR","REP_M_AREA","GIS_M_AREA","REP_AREA","GIS_AREA","DESIG_TYPE","IUCN_CAT","DESIG_ENG","INT_CRIT","MARINE","NO_TAKE","NO_TK_AREA","OWN_TYPE","SUB_LOC","PARENT_ISO3","ISO3","collab_gov","transboundary","private","nonprofit","local","indigenous","sub_national","federal","missing","gov_clean","estado"
"4794",192842,"Polygon",306821,"306821",1,"Metzabok","Metzabok","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",1998,0,0,33.68359,33.88772368,"National","VI","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-CHP","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Chiapas"
"4795",192895,"Polygon",306823,"306823",1,"Nahá","Nahá","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",1998,0,0,38.47416,38.70025509,"National","VI","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-CHP","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Chiapas"
"4796",192906,"Polygon",306824,"306824",1,"Otoch Ma'ax Yetel Kooh","Otoch Ma'ax Yetel Kooh","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",2002,0,0,53.67424,53.9874356,"National","VI","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-ROO","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Quintana Roo"
"4798",192961,"Polygon",555587200,"555587200_A",1,"Pico de Tancítaro","Pico de Tancítaro - Zona Núcleo","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",2009,0,0,27.90302,28.01951521,"National","Ia","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-MIC","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Michoacán"
"4803",193080,"Polygon",107787,"107787",1,"Manglares de Nichupté","Manglares de Nichupté","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",2008,0,0,42.57498,42.81396145,"National","VI","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-ROO","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Quintana Roo"
"4805",193083,"Polygon",20063,"20063_A",1,"Corredor Biológico Chichinautzin","Corredor Biológico Chichinautzin - Zona Núcleo","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",1988,0,0,7.8314,54.16551838,"National","Ia","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-MOR","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Morelos"
"4811",193135,"Polygon",301991,"301991",1,"Cabo San Lucas","Cabo San Lucas","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",2000,37.87996,37.80849608,39.96049,40.16435508,"National","VI","Flora and Fauna Protection Area","Not Applicable",2,"Not Reported",0,"State","MX-BCS","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Baja California Sur"
"4813",193150,"Polygon",306782,"306782",1,"Cascada de Agua Azul","Cascada de Agua Azul","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",2000,0,0,25.8,26.12193045,"National","VI","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-CHP","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Chiapas"
"4814",193154,"Polygon",306785,"306785",1,"Ciénegas del Lerma","Ciénegas del Lerma","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",2002,0,0,30.23957,30.41959759,"National","VI","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-MEX","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Estado de Mexico"
"4815",193158,"Polygon",306789,"306789",1,"El Jabalí","El Jabalí","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",2000,0,0,51.7856,50.93688397,"National","VI","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-COL","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Colima"
"4816",193192,"Polygon",306845,"306845",1,"Sierra La Mojonera","Sierra La Mojonera","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",2000,0,0,92.015,94.21104881,"National","VI","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-ZAC","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Zacatecas"
"4817",193193,"Polygon",306846,"306846",1,"Sierra de Álvarez","Sierra de Álvarez","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",2000,0,0,169,137.5486807,"National","VI","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-ZAC","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Zacatecas"
"4821",193226,"Polygon",555587171,"555587171_A",1,"Balandra","Balandra - Zona Núcleo","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",2012,0,0,0.0678,3.106441468,"National","Ia","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-BCS","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Baja California Sur"
"4822",193227,"Polygon",555587171,"555587171_B",1,"Balandra","Balandra - Zona de Amortiguamiento","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",2012,8.99243,8.198368571,22.03674,22.14755438,"National","VI","Flora and Fauna Protection Area","Not Applicable",1,"Not Reported",0,"State","MX-BCS","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Baja California Sur"
"4825",193240,"Polygon",67669,"67669",1,"Chan-Kin","Chan-Kin","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",1992,0,0,121.84987,122.4241703,"National","VI","Flora and Fauna Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-CHP","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Chiapas"
"4834",193171,"Polygon",306813,"306813",1,"Las Huertas","Las Huertas","Federal or national ministry or agency","National Commission of Natural Protected Areas","Designated",1988,0,0,1.6701,1.668752026,"National","VI","Natural Resources Protection Area","Not Applicable",0,"Not Applicable",0,"State","MX-COL","MEX","MEX",0,0,0,0,0,0,0,1,0,"federal","Colima"
"4836",193961,"Polygon",555621869,"555621869",1,"Quebrada de Santa Bárbara","Quebrada de Santa Bárbara","Sub-national ministry or agency","Not Reported","Designated",2008,0,0,0.6575131885,0.6610141301,"National","Not Reported","Natural Resources Protection Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-DUR","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Durango"
"4837",193781,"Polygon",107624,"107624",1,"Cuenca de la Soledad","Cuenca de la Soledad","Sub-national ministry or agency","Not Reported","Designated",2006,0,0,27.82019693,27.94305898,"National","Not Reported","Ecological Restoration Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-GUA","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Guanajuato"
"4838",193787,"Polygon",107589,"107589",1,"Cerro del Cubilete","Cerro del Cubilete","Sub-national ministry or agency","Not Reported","Designated",2003,0,0,36.09585649,36.25148435,"National","Not Reported","Ecological Restoration Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-GUA","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Guanajuato"
"4839",193795,"Polygon",555621894,"555621894",1,"Palenque","Palenque","Sub-national ministry or agency","Not Reported","Designated",2012,0,0,20.30694796,20.37876361,"National","Not Reported","Ecological Restoration Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-GUA","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Guanajuato"
"4840",193807,"Polygon",555621901,"555621901",1,"Presa Neutla y su Zona de Influencia","Presa Neutla y su Zona de Influencia","Sub-national ministry or agency","Not Reported","Designated",2006,0,0,20.16638112,20.26540267,"National","Not Reported","Ecological Restoration Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-GUA","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Guanajuato"
"4841",193774,"Polygon",107832,"107832",1,"Peña Alta","Peña Alta","Sub-national ministry or agency","Not Reported","Designated",2000,0,0,132.7121746,133.333283,"National","Not Reported","Sustainable Use Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-GUA","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Guanajuato"
"4843",193784,"Polygon",107846,"107846",1,"Presa La Purísima y su Zona de Influencia","Presa La Purísima y su Zona de Influencia","Sub-national ministry or agency","Not Reported","Designated",2005,0,0,27.28824467,27.40923949,"National","Not Reported","Sustainable Use Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-GUA","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Guanajuato"
"4845",193790,"Polygon",107768,"107768",1,"Las Musas","Las Musas","Sub-national ministry or agency","Not Reported","Designated",2002,0,0,31.74775236,31.86190985,"National","Not Reported","Sustainable Use Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-GUA","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Guanajuato"
"4846",193799,"Polygon",555621897,"555621897",1,"Cuenca Alta del Río Temascatío","Cuenca Alta del Río Temascatío","Sub-national ministry or agency","Not Reported","Designated",2000,0,0,174.3206277,175.1336519,"National","Not Reported","Sustainable Use Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-GUA","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Guanajuato"
"4847",193803,"Polygon",107582,"107582",1,"Cerro de Arandas","Cerro de Arandas","Sub-national ministry or agency","Not Reported","Designated",2005,0,0,48.16261191,48.36841629,"National","Not Reported","Sustainable Use Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-GUA","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Guanajuato"
"4849",193816,"Polygon",107587,"107587",1,"Cerro de los Amoles","Cerro de los Amoles","Sub-national ministry or agency","Not Reported","Designated",2004,0,0,69.87667967,70.19132764,"National","Not Reported","Sustainable Use Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-GUA","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Guanajuato"
"4850",193819,"Polygon",108051,"108051",1,"Sierra de los Agustinos","Sierra de los Agustinos","Sub-national ministry or agency","Not Reported","Designated",2002,0,0,191.6513116,192.6435061,"National","Not Reported","Sustainable Use Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-GUA","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Guanajuato"
"4851",193012,"Polygon",555621864,"555621864",1,"El Organo","El Organo","Sub-national ministry or agency","Not Reported","Designated",2015,0,0,33.97294083,34.09706295,"National","Not Reported","Protected Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-COA","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Coahuila"
"4852",193149,"Polygon",555621859,"555621859",1,"Rancho La Viga","Rancho La Viga","Sub-national ministry or agency","Not Reported","Designated",2016,0,0,46.55642057,46.71951377,"National","Not Reported","Protected Area","Not Applicable",0,"Not Applicable",0,"Not Reported","MX-COA","MEX","MEX",0,0,0,0,0,0,1,0,0,"subnational","Coahuila"
"4853",188978,"Polygon",107739,"107739",1,"La Reforma","La Reforma","Individual landowners","National Commission of Natural Protected Areas","Designated",2006,0,0,0.2,0.1268492087,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-OAX","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Oaxaca"
"4854",188988,"Polygon",107729,"107729",1,"La Libertad","La Libertad","Individual landowners","National Commission of Natural Protected Areas","Designated",2006,0,0,0.04,0.01002814396,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-OAX","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Oaxaca"
"4855",188991,"Polygon",107853,"107853",1,"Rancho Media Luna","Rancho Media Luna","Individual landowners","National Commission of Natural Protected Areas","Designated",2005,0,0,150,7.99517286,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-COA","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Coahuila"
"4856",189014,"Polygon",555599555,"555599555",1,"(Parcela) 45 Z-1 P1/1 (Ejido Boca del Monte)","(Parcela) 45 Z-1 P1/1 (Ejido Boca del Monte)","Individual landowners","National Commission of Natural Protected Areas","Designated",2010,0,0,0.11,0.08637606198,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-OAX","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Oaxaca"
"4857",189160,"Polygon",107863,"107863",1,"Reserva Ecológica El Eden","Reserva Ecológica El Eden","Individual landowners","National Commission of Natural Protected Areas","Designated",2007,0,0,15.409525,18.78302864,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-ROO","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Quintana Roo"
"4858",189179,"Polygon",555599572,"555599572",1,"ANP Área de Conservación Ecológica de San José Vista Hermosa","ANP Área de Conservación Ecológica de San José Vista Hermosa","Individual landowners","National Commission of Natural Protected Areas","Designated",2008,0,0,4.5951,4.909948368,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-GRO","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Guerrero"
"4859",189261,"Polygon",555599651,"555599651",1,"Bosque Mágico de Piedra Canteada, Santuario de La Luciérnaga, Área Natural Protegida","Bosque Mágico de Piedra Canteada, Santuario de La Luciérnaga, Área Natural Protegida","Individual landowners","National Commission of Natural Protected Areas","Designated",2011,0,0,6.322768,6.1077099,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-TLA","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Tlaxcala"
"4860",189270,"Polygon",555599654,"555599654",1,"Cerro de San Marcos","Cerro de San Marcos","Individual landowners","National Commission of Natural Protected Areas","Designated",2012,0,0,0.02,0.02050782463,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-GRO","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Guerrero"
"4861",189292,"Polygon",555599880,"555599880",1,"Área Natural Protegida Fracción Número Cinco de San José El Manantial","Área Natural Protegida Fracción Número Cinco de San José El Manantial","Individual landowners","National Commission of Natural Protected Areas","Designated",2012,0,0,0.419346,0.391737522,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-TLA","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Tlaxcala"
"4862",189297,"Polygon",555599881,"555599881",1,"Área Natural Protegida Fracción Cuatro de San José El Manantial","Área Natural Protegida Fracción Cuatro de San José El Manantial","Individual landowners","National Commission of Natural Protected Areas","Designated",2012,0,0,0.419103,0.4172034698,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-TLA","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Tlaxcala"
"4863",189378,"Polygon",555599630,"555599630",1,"Área Natural Protegida Tenexac","Área Natural Protegida Tenexac","Individual landowners","National Commission of Natural Protected Areas","Designated",2012,0,0,4.78794,5.470662729,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-TLA","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Tlaxcala"
"4864",189803,"Polygon",555599853,"555599853",1,"Zona de Conservación de Puerta del Mar","Zona de Conservación de Puerta del Mar","Individual landowners","National Commission of Natural Protected Areas","Designated",2008,0,0,0.023,0.02313272311,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-ROO","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Quintana Roo"
"4865",190107,"Polygon",555599570,"555599570",1,"ANP Área de Conservación Ecológica Comunidad Paraje Montero","ANP Área de Conservación Ecológica Comunidad Paraje Montero","Individual landowners","National Commission of Natural Protected Areas","Designated",2008,0,0,6.67853,5.185951091,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-GRO","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Guerrero"
"4866",190108,"Polygon",555599741,"555599741",1,"La Serranía","La Serranía","Individual landowners","National Commission of Natural Protected Areas","Designated",2009,0,0,4.3431,4.418506926,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-CHP","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Chiapas"
"4867",190207,"Polygon",555599762,"555599762",1,"Ozuma y Cuahuloma","Ozuma y Cuahuloma","Individual landowners","National Commission of Natural Protected Areas","Designated",2009,0,0,8.041703,8.584691564,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-PUE","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Puebla"
"4868",190217,"Polygon",555599773,"555599773",1,"Parque Ecologico de Iguala","Parque Ecologico de Iguala","Individual landowners","National Commission of Natural Protected Areas","Designated",2010,0,0,0.533639,1.247548726,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-GRO","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Guerrero"
"4869",190227,"Polygon",555599606,"555599606",1,"Área de Conservación Montenegro","Área de Conservación Montenegro","Individual landowners","National Commission of Natural Protected Areas","Designated",2010,0,0,8,8.036084052,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-OAX","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Oaxaca"
"4870",190234,"Polygon",555599546,"555599546",1,"(Parcela) 23 Z-1 P1/1 (Ejido Boca del Monte)","(Parcela) 23 Z-1 P1/1 (Ejido Boca del Monte)","Individual landowners","National Commission of Natural Protected Areas","Designated",2010,0,0,0.1061,0.1173219297,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-OAX","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Oaxaca"
"4871",190235,"Polygon",555599547,"555599547",1,"(Parcela) 24 Z-1 P1/1 (Ejido Boca del Monte)","(Parcela) 24 Z-1 P1/1 (Ejido Boca del Monte)","Individual landowners","National Commission of Natural Protected Areas","Designated",2010,0,0,0.0406,0.05911301765,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-OAX","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Oaxaca"
"4872",190241,"Polygon",555599562,"555599562",1,"(Parcela) 64 Z-1 P1/1 (Ejido Boca del Monte)","(Parcela) 64 Z-1 P1/1 (Ejido Boca del Monte)","Individual landowners","National Commission of Natural Protected Areas","Designated",2010,0,0,0.0772,0.07736208345,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-OAX","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Oaxaca"
"4873",190247,"Polygon",555599559,"555599559",1,"(Parcela) 58 Z-1 P1/1 (Ejido Boca del Monte)","(Parcela) 58 Z-1 P1/1 (Ejido Boca del Monte)","Individual landowners","National Commission of Natural Protected Areas","Designated",2010,0,0,0.0606,0.06108425358,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-OAX","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Oaxaca"
"4874",190248,"Polygon",555599560,"555599560",1,"(Parcela) 61 Z-1 P1/1 (Ejido Boca del Monte)","(Parcela) 61 Z-1 P1/1 (Ejido Boca del Monte)","Individual landowners","National Commission of Natural Protected Areas","Designated",2010,0,0,0.1121,0.12884295,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-OAX","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Oaxaca"
"4875",190259,"Polygon",555599540,"555599540",1,"(Parcela) 1 Z-1 P1/1 (Ejido Boca del Monte)","(Parcela) 1 Z-1 P1/1 (Ejido Boca del Monte)","Individual landowners","National Commission of Natural Protected Areas","Designated",2010,0,0,0.0686,0.06945724123,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-OAX","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Oaxaca"
"4876",190276,"Polygon",555599542,"555599542",1,"(Parcela) 7 Z-1 P1/1 (Ejido Boca del Monte)","(Parcela) 7 Z-1 P1/1 (Ejido Boca del Monte)","Individual landowners","National Commission of Natural Protected Areas","Designated",2010,0,0,0.0953,0.1119544668,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-OAX","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Oaxaca"
"4877",190280,"Polygon",555645425,"555645425",1,"Santuario para el Águila Real en los Bienes Comunales de San José de Gracia, Aguascalientes","Santuario para el Águila Real en los Bienes Comunales de San José de Gracia, Aguascalientes","Individual landowners","National Commission of Natural Protected Areas","Designated",2015,0,0,61.7,61.8046015,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-AGS","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Aguascalientes"
"4878",190314,"Polygon",555599873,"555599873",1,"Área Natural Protegida del Bicentenario Fracción Dos San Isidro Rancho Nuevo","Área Natural Protegida del Bicentenario Fracción Dos San Isidro Rancho Nuevo","Individual landowners","National Commission of Natural Protected Areas","Designated",2010,0,0,1.378,1.736207846,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-TLA","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Tlaxcala"
"4879",190345,"Polygon",555599876,"555599876",1,"Área Natural Protegida del Bicentenario Fracción Uno de San José El Manantial","Área Natural Protegida del Bicentenario Fracción Uno de San José El Manantial","Individual landowners","National Commission of Natural Protected Areas","Designated",2010,0,0,0.419391,0.3806593991,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-TLA","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Tlaxcala"
"4880",190350,"Polygon",555599877,"555599877",1,"Área Natural Protegida del Bicentenario Fracción Exhacienda Tlacotla, Lote Seis","Área Natural Protegida del Bicentenario Fracción Exhacienda Tlacotla, Lote Seis","Individual landowners","National Commission of Natural Protected Areas","Designated",2010,0,0,0.403707,0.397540504,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-TLA","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Tlaxcala"
"4881",190395,"Polygon",555599617,"555599617",1,"Área Natural Protegida del Bicentenario El Pilón","Área Natural Protegida del Bicentenario El Pilón","Individual landowners","National Commission of Natural Protected Areas","Designated",2010,0,0,2.376,2.388188852,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-TLA","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Tlaxcala"
"4882",190404,"Polygon",555599723,"555599723",1,"Huub'Sak","Huub'Sak","Individual landowners","National Commission of Natural Protected Areas","Designated",2010,0,0,0.5,0.5039772722,"National","VI","Voluntary Conservation Area","Not Applicable",0,"Not Applicable",0,"Individual landowners","MX-ROO","MEX","MEX",0,0,1,0,0,0,0,0,0,"private","Quintana Roo"
